,index,time,code,price,volume,hoga_sell_amount,hoga_buy_amount
249,0,20200901092708 ,214330,4695,22862938,0,0
250,0,20200901092713 ,214330,4670,22889491,0,0
251,0,20200901092719 ,214330,4730,22932644,0,0
252,0,20200901092725 ,214330,4725,22962893,0,0
253,0,20200901092730 ,214330,4715,22987111,0,0
254,0,20200901092736 ,214330,4710,23005096,0,0
255,0,20200901092741 ,214330,4720,23016548,0,0
256,0,20200901092746 ,214330,4710,23031700,0,0
257,0,20200901092751 ,214330,4715,23043804,0,0
258,0,20200901092757 ,214330,4720,23047119,0,0
259,0,20200901092803 ,214330,4690,23129653,0,0
260,0,20200901092808 ,214330,4695,23146239,0,0
261,0,20200901092813 ,214330,4715,23162196,0,0
262,0,20200901092818 ,214330,4710,23167415,0,0
263,0,20200901092824 ,214330,4705,23177285,0,0
264,0,20200901092830 ,214330,4700,23196929,0,0
265,0,20200901092835 ,214330,4710,23212160,0,0
266,0,20200901092841 ,214330,4780,23430811,0,0
267,0,20200901092847 ,214330,4785,23484229,0,0
268,0,20200901092852 ,214330,4760,23519975,0,0
269,0,20200901092858 ,214330,4780,23540770,0,0
270,0,20200901092903 ,214330,4770,23570832,0,0
271,0,20200901092908 ,214330,4780,23598443,0,0
272,0,20200901092914 ,214330,4765,23630998,0,0
273,0,20200901092920 ,214330,4775,23648664,0,0
274,0,20200901092926 ,214330,4770,23709010,0,0
275,0,20200901092931 ,214330,4765,23718751,0,0
276,0,20200901092936 ,214330,4760,23734686,0,0
277,0,20200901092941 ,214330,4755,23754116,0,0
278,0,20200901092947 ,214330,4820,24280573,0,0
279,0,20200901092953 ,214330,4890,24629615,0,0
280,0,20200901092958 ,214330,4920,24868682,0,0
281,0,20200901093003 ,214330,4885,25074669,0,0
282,0,20200901093009 ,214330,4900,25219240,0,0
283,0,20200901093015 ,214330,4905,25367555,0,0
284,0,20200901093020 ,214330,4950,25670372,0,0
285,0,20200901093026 ,214330,4945,25818537,0,0
286,0,20200901093031 ,214330,4930,25901170,0,0
287,0,20200901093037 ,214330,4920,25965363,0,0
288,0,20200901093042 ,214330,4935,26043293,0,0
289,0,20200901093048 ,214330,4945,26311748,0,0
290,0,20200901093053 ,214330,4920,26449556,0,0
291,0,20200901093059 ,214330,4910,26503073,0,0
292,0,20200901093104 ,214330,4890,26602105,0,0
293,0,20200901093110 ,214330,4865,26665568,0,0
294,0,20200901093116 ,214330,4905,26783934,0,0
295,0,20200901093121 ,214330,4905,26860227,0,0
296,0,20200901093126 ,214330,4900,26896717,0,0
297,0,20200901093132 ,214330,4895,26935560,0,0
298,0,20200901093138 ,214330,4910,26981677,0,0
299,0,20200901093144 ,214330,4910,27043522,0,0
300,0,20200901093149 ,214330,4890,27138196,0,0
301,0,20200901093155 ,214330,4925,27222217,0,0
302,0,20200901093200 ,214330,4915,27297273,0,0
303,0,20200901093206 ,214330,4900,27335873,0,0
304,0,20200901093212 ,214330,4890,27390788,0,0
305,0,20200901093218 ,214330,4900,27408030,0,0
306,0,20200901093223 ,214330,4880,27497945,0,0
307,0,20200901093229 ,214330,4875,27560495,0,0
308,0,20200901093234 ,214330,4895,27627879,0,0
309,0,20200901093240 ,214330,4900,27647331,0,0
310,0,20200901093246 ,214330,4910,27762032,0,0
311,0,20200901093251 ,214330,4910,27859819,0,0
312,0,20200901093257 ,214330,4910,27888069,0,0
313,0,20200901093302 ,214330,4905,27902028,0,0
314,0,20200901093308 ,214330,4900,27927222,0,0
315,0,20200901093313 ,214330,4890,27960932,0,0
316,0,20200901093318 ,214330,4885,27996559,0,0
317,0,20200901093324 ,214330,4900,28021198,0,0
318,0,20200901093329 ,214330,4915,28117777,0,0
319,0,20200901093334 ,214330,4900,28141261,0,0
320,0,20200901093340 ,214330,4910,28168584,0,0
321,0,20200901093345 ,214330,4860,28322318,0,0
322,0,20200901093351 ,214330,4885,28373660,0,0
323,0,20200901093357 ,214330,4890,28401724,0,0
324,0,20200901093403 ,214330,4890,28426125,0,0
325,0,20200901093409 ,214330,4895,28461853,0,0
326,0,20200901093414 ,214330,4895,28495753,0,0
327,0,20200901093419 ,214330,4905,28547208,0,0
328,0,20200901093425 ,214330,4890,28573884,0,0
329,0,20200901093431 ,214330,4900,28642757,0,0
330,0,20200901093437 ,214330,4885,28691169,0,0
331,0,20200901093442 ,214330,4870,28715457,0,0
332,0,20200901093448 ,214330,4890,28750329,0,0
333,0,20200901093453 ,214330,4885,28762405,0,0
334,0,20200901093458 ,214330,4880,28804012,0,0
335,0,20200901093504 ,214330,4910,28926356,0,0
336,0,20200901093509 ,214330,4910,29012976,0,0
337,0,20200901093515 ,214330,4915,29049395,0,0
338,0,20200901093521 ,214330,4915,29128930,0,0
339,0,20200901093526 ,214330,4885,29179072,0,0
340,0,20200901093532 ,214330,4885,29251564,0,0
341,0,20200901093537 ,214330,4890,29270405,0,0
342,0,20200901093542 ,214330,4895,29286276,0,0
343,0,20200901093548 ,214330,4870,29364090,0,0
344,0,20200901093555 ,214330,4875,29386773,0,0
345,0,20200901093601 ,214330,4915,29501933,0,0
346,0,20200901093607 ,214330,4895,29562536,0,0
347,0,20200901093613 ,214330,4910,29597051,0,0
348,0,20200901093619 ,214330,4895,29632934,0,0
349,0,20200901093625 ,214330,4910,29666223,0,0
350,0,20200901093630 ,214330,4925,29752646,0,0
351,0,20200901093636 ,214330,4910,29818843,0,0
352,0,20200901093641 ,214330,4900,29854863,0,0
353,0,20200901093647 ,214330,4895,29897328,0,0
354,0,20200901093652 ,214330,4895,29914187,0,0
355,0,20200901093658 ,214330,4915,29964767,0,0
356,0,20200901093703 ,214330,4910,29972752,0,0
357,0,20200901093709 ,214330,4895,30063142,0,0
358,0,20200901093715 ,214330,4895,30073181,0,0
359,0,20200901093720 ,214330,4890,30098505,0,0
360,0,20200901093726 ,214330,4855,30355358,0,0
361,0,20200901093732 ,214330,4850,30482150,0,0
362,0,20200901093738 ,214330,4885,30523007,0,0
363,0,20200901093744 ,214330,4880,30535279,0,0
364,0,20200901093750 ,214330,4870,30546345,0,0
365,0,20200901093756 ,214330,4855,30613318,0,0
366,0,20200901093802 ,214330,4850,30630511,0,0
367,0,20200901093807 ,214330,4855,30648700,0,0
368,0,20200901093813 ,214330,4855,30679519,0,0
369,0,20200901093819 ,214330,4840,30748215,0,0
370,0,20200901093824 ,214330,4860,30786926,0,0
